account,sn,text,embed,uri,clean_uri,translated_text,label
sanmarcos.bsky.social,19.0,"❗️how russia managed to advance in pokrovsk: isw named the decisive factor

it took russian troops 21 months to advance 39 kilometers from avdiivka to pokrovsk. russia deployed between 170,000 and 220,000 troops to the pokrovsk direction.

t.me/dobropillya_...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=509197, ref=IpldLink(link='bafkreiauteu3quokzedu2zm5oct52bbhoh5mleygzg66gn77gba4eacuca'), py_type='blob'), aspect_ratio=AspectRatio(height=660, width=1200, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=633114, ref=IpldLink(link='bafkreic2263rhvrm5shpa7qxgp5a53zzyyaozzfywkvqzmpsdkpxucquxe'), py_type='blob'), aspect_ratio=AspectRatio(height=1405, width=969, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/dobropillya_...,dobropillya_...,"❗️how russia managed to advance in pokrovsk: isw named the decisive factor

it took russian troops 21 months to advance 39 kilometers from avdiivka to pokrovsk. russia deployed between 170,000 and 220,000 troops to the pokrovsk direction.

t.me/dobropillya_...",0.0
putinsibs.bsky.social,4.0,"""make #russia small again!""🤣🤣🤣

from t.me/pravdagerash...

#french blogger #xavier_tytelman, during a visit to the museum of the national library of #france, showed a map of #europe from 1754.","video=BlobRef(mime_type='video/mp4', size=10382705, ref=IpldLink(link='bafkreidru4cxsbzbwiv4dqlmuxmtoayhdie5ap3shl5vvslbgyug3niudq'), py_type='blob') alt=None aspect_ratio=AspectRatio(height=1280, width=720, py_type='app.bsky.embed.defs#aspectRatio') captions=None py_type='app.bsky.embed.video'",t.me/pravdagerash...,pravdagerash...,"""make #russia small again!""🤣🤣🤣

from t.me/pravdagerash...

#french blogger #xavier_tytelman, during a visit to the museum of the national library of #france, showed a map of #europe from 1754.",0.0
kapicac.burnout.cafe.ap.brid.gy,7.0,"https://t.me/llordofwar/525246
speaker of the poltava regional #tcc istomin: ""for some reason, some have chosen the path of war with the tcc. i understand that it is easier to fight your own military than the occupiers, but you need to understand who the enemy is."" judging by t...","external=External(description='Speaker of the Poltava Regional TCC Istomin: ""For some reason, some have chosen the path of war with the TCC. I understand that it is easier to fight your own military than the occupiers, but you need to understand who the enemy is."" Judging by the reactions in Ukrainian social networks to the actions of people like this Istomin, the people in Ukraine perfectly understand who the enemy is. But they are simply not capable of organizing a mass uprising against the repressive machine. ⚡️', title='Lord Of War', uri='https://t.me/llordofwar/525246', thumb=BlobRef(mime_type='image/jpeg', size=10593, ref=IpldLink(link='bafkreibtslihyknvhgwvgnvvdaecurne4fopkfmg7dxtia7fshiw6yegmq'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/525246,llordofwar,"https://t.me/llordofwar/525246
speaker of the poltava regional #tcc istomin: ""for some reason, some have chosen the path of war with the tcc. i understand that it is easier to fight your own military than the occupiers, but you need to understand who the enemy is."" judging by t...",1.0
bongeil.toot.blue.ap.brid.gy,6.0,"https://t.me/zradaxxii/45087
❗republicans are preparing #sanctions on countries doing business with #russia","external=External(description='❗Republicans are preparing sanctions on countries doing business with Russia', title='ZradaXXII', uri='https://t.me/ZradaXXII/45087', thumb=BlobRef(mime_type='image/jpeg', size=11632, ref=IpldLink(link='bafkreiejwkfgbuagbap635h2czbpyrv3uacytugt6gs46s4eizn7hytuwi'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/ZradaXXII/45087,zradaxxii/45087,"https://t.me/zradaxxii/45087
❗republicans are preparing #sanctions on countries doing business with #russia",0.0
vaxue.mastodon.de.ap.brid.gy,17.0,"https://t.me/llordofwar/528360
the prime minister of the german state of saxony, michael kretschmer, believes that #germany should resume energy supplies from #russia after the end of the full-scale war in #ukraine. he said this in an interview with the funke media group. accor...","external=External(description='The Prime Minister of the German state of Saxony, Michael Kretschmer, believes that Germany should resume energy supplies from Russia after the end of the full-scale war in Ukraine. He said this in an interview with the Funke media group. According to him, Germany\'s energy policy is leading to deindustrialization, and the country should consider sanctions against Russia from its own economic point of view. Krechmer said that the German government is supplying Ukraine with weapons to fight Russia and supports the country\'s recovery. But at the same time, the country has given up its ""competitive advantage"" – energy at affordable prices.', title='Lord Of War', uri='https://t.me/llordofwar/528360', thumb=BlobRef(mime_type='image/jpeg', size=10698, ref=IpldLink(link='bafkreidbskrc7nb6bjjj4tu23eqqajya7plghh7tss5ce257kmbjqu4oom'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/528360,llordofwar/528360,"https://t.me/llordofwar/528360
the prime minister of the german state of saxony, michael kretschmer, believes that #germany should resume energy supplies from #russia after the end of the full-scale war in #ukraine. he said this in an interview with the funke media group. accor...",1.0
rvps2001.vonhaller.social.ap.brid.gy,42.0,"alexander kharchenko: battle of shadows ukrainian analysts on the maps have practically already painted #pokrovsk red. but yesterday #zelensky stated that there are only 314 russians inside the city. let's try to understand this paradox. no, the #...
https://t.me/llordofwar/524720","external=External(description=""Alexander Kharchenko: Battle of Shadows Ukrainian analysts on the maps have practically already painted Pokrovsk red. But yesterday Zelensky stated that there are only 314 Russians inside the city. Let's try to understand this paradox. No, the Russian army has not been ground down by the Ukrainian defense. Tens of thousands of Russian soldiers are operating near Pokrovsk. You can see this if you get on a van-cabriolet and drive northwest from Selidovo. There are many vehicles. But if you look at Pokrovsk through a drone camera, you will hardly notice any soldiers. The fighting for the city is ongoing, but it is not engulfed in flames, and machine gun bursts are heard very rarely. Both sides keep their main forces 10 km from the city. Drones control all approaches, and only the most desperate daredevils can get through this barrier alive. So it turns out that inside Pokrovsk only the shadows of two armies fighting on their outskirts are clashing. Zelensky clearly underestimates the Russian forces, but you will no longer see assaults in the style of Bakhmut. There are fewer soldiers in the city than civilians. Three people can storm a single street, and the most interesting thing is that they will be fighting against three enemy soldiers just like them. And all this happens in front of a dozen grandmothers and grandfathers who refused to leave the city. When you imagine this picture, you will stop tormenting yourself with meaningless questions. The war has changed and no longer resembles a Hollywood action movie. This battle of shadows still needs to be described in literature. For now, we need to accept reality and study the vectors of its development. ⚡️"", title='Lord Of War', uri='https://t.me/llordofwar/524720', thumb=BlobRef(mime_type='image/jpeg', size=16510, ref=IpldLink(link='bafkreid24uggce44k2yf5mymymzwvdo2pizguml7wa5nvx6cbnj2vkxz4a'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/524720,llordofwar,"alexander kharchenko: battle of shadows ukrainian analysts on the maps have practically already painted #pokrovsk red. but yesterday #zelensky stated that there are only 314 russians inside the city. let's try to understand this paradox. no, the #...
https://t.me/llordofwar/524720",1.0
andrew-ukraine.bsky.social,10.0,"france and britain should stand together on this.

we must make it clear to russia that, unlike america, we will not be intimidated by russia’s nuclear sabre rattling.

we must defend europe, so if they test us with nuclear, they will regret it.

t.me/noel_reports...","external=External(description='🇷🇺 Russia says Macron is ""detached from reality"" after his nuclear comments.\n\nFM spokeswoman Zakharova mocked the French President, calling him a ""storyteller"" after he labeled Russia a threat to Euro...', title='NOELREPORTS 🇪🇺 🇺🇦', uri='https://t.me/noel_reports/25199', thumb=BlobRef(mime_type='image/jpeg', size=70242, ref=IpldLink(link='bafkreicbc3gtovjsejid4bxrrrnabbbvlr3gickpry4ylrxaiznpiy3jxi'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/noel_reports/25199,noel_reports/25199,"france and britain should stand together on this.

we must make it clear to russia that, unlike america, we will not be intimidated by russia’s nuclear sabre rattling.

we must defend europe, so if they test us with nuclear, they will regret it.

t.me/noel_reports...",0.0
gice.glasgow.social.ap.brid.gy,4.0,"https://t.me/uutishuone/1362451
harvinainen kuvamateriaali iskusta ukrainalaisten drone-operaattoreiden asemiin konstantinovkassa: kolme umpc:llä varustettua fab-500-pommia osui kohteeseen lähes samanaikaisesti. ilmeisesti umpc on saavuttanut hyvän joustavuuden käytössä, ja nyt...","external=External(description='Harvinainen kuvamateriaali iskusta ukrainalaisten drone-operaattoreiden asemiin Konstantinovkassa: kolme UMPC:llä varustettua FAB-500-pommia osui kohteeseen lähes samanaikaisesti. Ilmeisesti UMPC on saavuttanut hyvän joustavuuden käytössä, ja nyt Venäjä voi asettaa erilaisia \u200b\u200bhyökkäysskenaarioita. Esimerkiksi lentoradan ohjelmointi – pommit lähestyvät kohdetta eri suunnista ja eri kulmista, mikä lisää merkittävästi tarkkuutta ja osuman todennäköisyyttä. @Slavyangrad', title='Uutishuone', uri='https://t.me/uutishuone/1362451', thumb=BlobRef(mime_type='image/jpeg', size=7466, ref=IpldLink(link='bafkreigvxcduwusmmhx4vjd5ydajqninnmp4kaqhytt2o2oilktmi75phy'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1362451,uutishuone,"https://t.me/uutishuone/1362451
rare footage of a strike on a Ukrainian drone operator's position in konstantinovka: three umpc-equipped fab-500 bombs hit the target almost simultaneously. apparently the umpc has gained good flexibility in use, and now...",1.0
sanmarcos.bsky.social,20.0,"russia attacked the lozova community, kharkiv oblast, with four drones. there is damage to critical infrastructure and heating problems, — mayor
🤬
t.me/kharkivlife/...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=628685, ref=IpldLink(link='bafkreih5nqeox5ui56b5vio2w5srhdgbp5r4rl43g3mxbu4yxiaj2vadta'), py_type='blob'), aspect_ratio=AspectRatio(height=1280, width=960, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=930557, ref=IpldLink(link='bafkreiaz7hvf5f4whz2yrq7ssular35i7gezp5ioyklfbjjk2fiofp5wym'), py_type='blob'), aspect_ratio=AspectRatio(height=1280, width=960, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=821110, ref=IpldLink(link='bafkreiajgjljgqxdmkwdjp22kufn6ghpycscdilhom7fqpy2jbixpuowmq'), py_type='blob'), aspect_ratio=AspectRatio(height=1280, width=960, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=805542, ref=IpldLink(link='bafkreidpzzs65lsjyx2xiuovzvpza6jdusudp3pzzlacodo7wl4exugx7m'), py_type='blob'), aspect_ratio=AspectRatio(height=1280, width=960, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/kharkivlife/...,kharkivlife/...,"russia attacked the lozova community, kharkiv oblast, with four drones. there is damage to critical infrastructure and heating problems, — mayor
🤬
t.me/kharkivlife/...",0.0
rvps2001.vonhaller.social.ap.brid.gy,46.0,"https://t.me/llordofwar/524553
🇺🇦the loss counting group in the armed forces is in contact. fresh data from the ukrainian prosecutor's office on criminal statistics has become available in october, a new anti-record was set for the rate of people fleeing the ukrainian army. for...","external=External(description='🇺🇦The Loss Counting Group in the Armed Forces is in contact. Fresh data from the Ukrainian Prosecutor\'s Office on criminal statistics has become available In October, a new anti-record was set for the rate of people fleeing the Ukrainian army. For the first time, the total number of unauthorized leave and desertions exceeded 20,000 per month, reaching 21,185 cases. If we take into account that there may be more than one person involved in each case (group cases), then the total number of fugitives is even higher. In just 10 months of this year, almost 183,000 cases of self-abandonment and desertion were opened. And as the cherry on top, there are cases of self-mutilation. In 10 months, there would be enough ""self-shootings"" to form a battalion. 🔘Subscribe now! Chat', title='Lord Of War', uri='https://t.me/llordofwar/524553', thumb=BlobRef(mime_type='image/jpeg', size=15390, ref=IpldLink(link='bafkreid3oh75tnwlnuibe7fuekzv2r32yph5g3no33vodo2b7yvqcgrvha'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/524553,llordofwar,"https://t.me/llordofwar/524553
🇺🇦the loss counting group in the armed forces is in contact. fresh data from the ukrainian prosecutor's office on criminal statistics has become available in october, a new anti-record was set for the rate of people fleeing the ukrainian army. for...",1.0
margareterosali.bsky.social,8.0,"#starmer 🤯😖🧐 gives in 😠 #fbp #fbpe #europe
t.me/liveukraine_...

#uk prime minister #keirstarmer offered to work with the #u.s. on developing a peace agreement for #ukraine, similar to trump’s 20-point plan for the #gazastrip.
...","external=External(description='At his meeting with Zelenskyy, Trump was firm and rejected the request for Tomahawks “for the sake of diplomacy,” reports Axios, citing two sources.\n\nTrump made several sharp remarks and at times “bec...', title='Live: Ukraine', uri='https://t.me/liveukraine_media/35140', thumb=BlobRef(mime_type='image/jpeg', size=608763, ref=IpldLink(link='bafkreidiay7nuewbg32gv3edegkciuxhaxthotbc4vunawqj7sc4bhgr24'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/liveukraine_media/35140,liveukraine_media/35140,"#starmer 🤯😖🧐 gives in 😠 #fbp #fbpe #europe
t.me/liveukraine_...

#uk prime minister #keirstarmer offered to work with the #u.s. on developing a peace agreement for #ukraine, similar to trump’s 20-point plan for the #gazastrip.
...",0.0
makow.masto.popgeeks.com.ap.brid.gy,27.0,"🇺🇦 presidentin kanslia on kytketty jatkuvaan sähkönsyöttöön, mutta bankova-kadulla he päättivät näyttää kaikille ukrainalaisille, että jopa presidentti kärsii sähkökatkoksista - ukrainalainen tg-kanava ""resident"". heidän puolellaan on se, että ""s...
https://t.me/uutishuone/1362730","external=External(description='🇺🇦 Presidentin kanslia on kytketty jatkuvaan sähkönsyöttöön, mutta Bankova-kadulla he päättivät näyttää kaikille ukrainalaisille, että jopa presidentti kärsii sähkökatkoksista - ukrainalainen TG-kanava ""Resident"". Heidän puolellaan on se, että ""sähkökatkon"" temppu tehtiin kahdesti The Guardianin haastattelun aikana. On outoa, että he eivät käynnistäneet sireeniä eivätkä laukaisseet dronea, joka lensi Angelina Jolien yli aiemmin.', title='Uutishuone', uri='https://t.me/uutishuone/1362730', thumb=BlobRef(mime_type='image/jpeg', size=9199, ref=IpldLink(link='bafkreicvd3jno7kcohdoobrcd7raksmtg4aidznvt4tp4vmizdc5ro4deu'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1362730,uutishuone,"🇺🇦 the presidential office is connected to a constant power supply, but on bankova street they decided to show all Ukrainians that even the president suffers from power cuts - Ukrainian tg channel ""resident"". their side is that ""s...
https://t.me/uutishuone/1362730",1.0
